Nama,Gender,Kota,Usia,Jarak,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11,PM12,PM13,PM14,PM15,PM16,UTS,UAS,TotalHadir,Id,Kodemapel
Ayu,P,Malang,14,5,80,85,85,80,95,90,85,75,80,100,90,80,90,100,95,90,85,85,16,160181,203
Bintang,L,Surabaya,13,2,85,80,95,75,95,80,95,80,80,100,95,100,90,95,100,95,85,80,15,160182,203
Bulan,P,Sidoarjo,14,4,75,80,95,85,90,85,95,80,75,85,75,100,75,75,90,75,95,75,15,160183,203
Bunga,P,Surabaya,14,3,100,75,80,80,85,80,90,95,75,95,85,80,80,75,80,75,80,95,14,160184,203
Edi,L,Surabaya,13,3,75,90,80,95,90,85,90,90,75,100,80,95,75,100,95,80,95,90,15,160185,203
Elok,P,Malang,14,2,80,100,100,95,85,85,75,85,85,100,80,85,80,90,95,80,85,80,13,160186,203
Erni,P,Gresik,13,4,75,80,85,75,90,85,90,90,75,100,75,95,80,90,95,100,90,100,14,160187,203
Fadhil,L,Surabaya,13,5,95,90,95,95,75,90,85,100,95,85,90,95,95,95,90,75,80,90,16,160188,203
Fitri,P,Gresik,14,3,95,95,95,80,90,75,95,80,100,85,85,90,75,95,90,80,90,95,14,160189,203
Gilang,L,Surabaya,14,3,90,85,75,75,75,100,100,95,100,90,100,80,95,90,85,90,100,80,13,160190,203
Gisel,P,Surabaya,13,3,75,95,75,90,75,85,90,80,100,90,85,80,100,85,95,85,75,75,16,160191,203
Hadi,L,Surabaya,13,2,75,75,95,95,100,85,85,80,85,100,75,75,100,100,80,80,85,85,16,160192,203
Hani,P,Malang,14,3,100,95,95,95,80,90,85,80,100,100,95,95,85,95,85,80,100,80,14,160193,203
Joni,L,Jakarta,14,5,90,80,95,80,90,95,95,85,90,90,100,90,90,80,80,100,85,95,14,160194,203
Maya,P,Surabaya,14,4,90,95,75,75,90,85,75,95,85,85,90,90,90,90,85,80,90,95,16,160195,203
Nando,L,Gresik,14,3,80,90,85,90,90,100,85,80,80,100,95,85,90,95,75,80,90,100,13,160196,203
Oktarina,P,Gresik,13,3,85,90,80,95,85,90,80,85,85,100,90,85,90,80,85,90,95,80,16,160197,203
Oktavian,L,Surabaya,13,5,80,80,85,75,85,75,75,80,85,80,80,80,75,75,95,80,85,90,16,160198,203
Olla,P,Surabaya,13,5,85,90,80,75,95,90,85,80,90,80,95,95,80,100,90,100,85,95,16,160199,203
Prita,P,Gresik,14,2,75,100,80,85,90,85,95,95,90,95,80,80,85,100,80,90,85,85,13,160200,203
Puspa,P,Surabaya,15,3,100,85,80,95,90,90,85,85,100,95,95,90,95,85,75,80,80,80,16,160201,203
Rizwan,L,Surabaya,14,3,85,90,100,100,80,95,75,80,90,90,80,95,80,80,95,80,80,80,16,160202,203
Taufik,L,Surabaya,14,3,80,75,80,90,85,85,100,95,85,75,95,100,95,90,75,95,95,75,16,160203,203
Tuti,P,Surabaya,14,5,90,85,90,80,85,95,75,95,95,80,85,95,80,80,100,90,100,75,14,160204,203
Umar,L,Malang,14,3,90,85,80,95,90,100,100,100,80,95,85,90,80,100,90,80,95,95,15,160205,203
Vini,P,Sidoarjo,14,2,100,95,95,85,95,90,85,90,95,90,75,80,95,100,95,75,80,100,13,160206,203
Vino,L,Surabaya,14,5,85,80,80,100,95,90,85,90,85,80,85,95,95,85,80,80,80,85,16,160207,203
Widya,P,Surabaya,13,4,85,80,90,75,100,80,90,90,95,85,95,95,80,100,85,95,80,95,16,160208,203
Yasmin,P,Sidoarjo,14,2,80,75,90,85,95,95,85,100,85,95,75,85,75,80,95,85,95,75,16,160209,203
Yola,P,Malang,14,4,90,85,90,95,90,100,80,100,80,95,80,90,80,100,95,85,95,100,15,160210,203
