Nama,Gender,Kota,Usia,Jarak,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11,PM12,PM13,PM14,PM15,PM16,UTS,UAS,TotalHadir,Id,Kodemapel
Chiko,L,Malang,13,4,85,100,85,90,100,95,85,90,95,90,85,80,100,95,80,90,75,75,13,160091,209
Deni,L,Malang,13,4,100,90,80,95,85,90,85,90,90,100,75,95,95,85,80,75,100,75,14,160092,209
Eko,L,Surabaya,13,3,95,90,100,90,95,100,95,75,100,90,85,85,85,80,90,100,90,90,16,160093,209
Galuh,P,Surabaya,13,4,95,85,100,95,85,80,90,80,75,100,80,90,80,90,80,95,95,80,15,160094,209
Gibran,L,Surabaya,12,3,85,95,80,90,85,90,90,95,80,75,95,95,100,80,90,80,85,90,16,160095,209
Githa,P,Sidoarjo,12,5,80,75,80,85,85,80,95,85,80,90,80,85,100,85,95,85,75,95,16,160096,209
Hani,P,Malang,13,2,90,80,90,85,95,95,75,85,95,90,90,90,95,90,95,90,90,75,15,160097,209
Hilda,P,Sidoarjo,13,3,80,100,95,90,100,90,85,75,95,90,90,95,100,85,80,85,85,95,16,160098,209
Jaya,L,Surabaya,13,3,85,100,90,95,85,85,100,90,90,80,90,95,75,80,95,80,85,90,14,160099,209
Kasih,P,Surabaya,13,5,80,85,85,90,95,100,90,85,90,90,85,80,95,90,85,100,100,100,14,160100,209
Krisna,L,Malang,13,2,85,85,75,75,100,95,90,80,75,75,75,90,85,80,90,90,85,90,16,160101,209
Leni,P,Gresik,13,4,80,90,80,85,90,90,80,80,100,95,85,95,90,75,90,100,100,75,14,160102,209
Lestari,P,Surabaya,12,5,80,95,80,90,75,100,85,85,80,85,80,80,80,100,75,80,95,95,16,160103,209
Luki,L,Jakarta,13,3,80,75,85,90,90,90,100,85,90,95,75,85,95,95,95,85,80,75,14,160104,209
Mustofa,L,Surabaya,12,2,75,85,90,85,80,85,100,100,90,80,100,100,95,85,100,95,90,90,16,160105,209
Nanda,P,Surabaya,14,4,95,80,90,80,80,75,80,85,90,100,90,90,85,90,80,85,100,80,14,160106,209
Naufal,L,Surabaya,13,2,90,85,80,85,90,100,90,90,80,95,95,75,95,100,85,100,95,80,16,160107,209
Oktavia,P,Sidoarjo,13,4,95,85,90,95,75,100,85,100,100,80,90,100,95,95,95,80,85,75,14,160108,209
Olivia,P,Malang,13,4,85,90,100,80,90,85,100,90,95,80,90,75,100,90,80,75,80,80,15,160109,209
Qori,L,Surabaya,14,5,80,90,90,85,90,90,80,80,80,85,85,80,80,75,75,85,100,85,16,160110,209
Raditya,L,Surabaya,13,2,90,75,85,75,75,90,75,75,100,80,85,100,100,85,90,75,95,100,14,160111,209
Rifqi,L,Jakarta,13,2,95,85,90,95,80,80,80,100,95,80,85,100,90,100,85,90,75,80,16,160112,209
Syafiq,L,Surabaya,14,4,95,85,95,80,85,100,95,80,75,95,85,95,85,90,90,85,85,85,13,160113,209
Ully,P,Surabaya,13,3,75,100,75,85,90,85,75,80,80,75,95,80,80,85,90,95,85,90,16,160114,209
Umi,P,Malang,13,4,80,100,80,80,80,90,95,100,80,80,95,95,80,90,95,75,95,95,15,160115,209
Victor,L,Sidoarjo,13,5,80,80,80,80,95,95,90,85,85,100,90,80,90,90,90,85,85,100,15,160116,209
Viona,P,Sidoarjo,13,5,100,75,80,80,85,90,80,90,100,85,80,80,85,100,95,95,85,95,14,160117,209
Wahyu,L,Surabaya,13,2,80,95,80,80,95,75,90,85,95,90,90,80,100,95,90,100,80,85,16,160118,209
Yanti,P,Malang,13,4,100,85,95,95,90,80,95,90,80,95,95,90,90,95,85,95,85,90,16,160119,209
Zaky,L,Malang,13,3,100,80,90,80,90,95,90,80,90,100,100,80,90,80,90,90,90,90,15,160120,209
