Nama,Gender,Kota,Usia,Jarak,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11,PM12,PM13,PM14,PM15,PM16,UTS,UAS,TotalHadir,Id,Kodemapel
Chiko,L,Malang,15,4,100,75,95,80,85,90,85,75,95,95,80,95,90,90,90,90,100,100,16,160091,102
Deni,L,Malang,15,4,90,100,85,80,85,90,85,90,85,85,100,100,75,100,80,75,95,95,16,160092,102
Eko,L,Surabaya,15,3,75,85,90,95,85,95,100,95,80,80,80,85,90,100,85,85,100,90,16,160093,102
Galuh,P,Surabaya,15,4,90,85,80,95,90,80,100,80,100,100,80,85,85,95,95,80,85,80,16,160094,102
Gibran,L,Surabaya,14,3,95,90,90,85,80,90,90,95,90,75,90,80,90,100,85,85,100,90,13,160095,102
Githa,P,Sidoarjo,14,5,85,100,85,90,75,75,90,85,80,95,100,75,95,90,75,80,95,90,15,160096,102
Hani,P,Malang,15,2,95,75,80,80,100,100,90,85,85,80,90,95,85,100,90,90,90,85,16,160097,102
Hilda,P,Sidoarjo,15,3,90,95,80,90,75,90,85,100,95,90,90,90,95,85,95,100,95,85,16,160098,102
Jaya,L,Surabaya,15,3,90,85,75,80,80,90,100,95,80,80,75,100,95,80,75,75,90,100,16,160099,102
Kasih,P,Surabaya,15,5,85,90,90,80,100,95,90,95,75,100,75,85,80,95,80,100,95,85,14,160100,102
Krisna,L,Malang,15,2,85,80,80,75,90,95,90,100,95,75,75,75,90,80,95,95,90,80,16,160101,102
Leni,P,Gresik,15,4,75,95,85,95,85,80,95,85,80,90,80,80,85,95,95,80,80,80,16,160102,102
Lestari,P,Surabaya,14,5,100,90,90,95,90,85,75,85,80,100,90,80,100,80,85,95,75,95,16,160103,102
Luki,L,Jakarta,15,3,100,80,85,100,90,75,100,95,95,90,95,80,75,90,85,85,95,80,15,160104,102
Mustofa,L,Surabaya,14,2,100,95,90,85,100,90,80,75,80,90,90,75,90,75,85,90,90,75,15,160105,102
Nanda,P,Surabaya,16,4,95,80,95,85,80,100,75,75,90,95,85,90,90,80,75,90,85,75,13,160106,102
Naufal,L,Surabaya,15,2,85,80,95,90,95,95,75,90,80,90,85,100,95,80,85,100,100,95,16,160107,102
Oktavia,P,Sidoarjo,15,4,75,90,95,85,80,95,85,80,80,100,75,90,80,80,85,85,95,80,15,160108,102
Olivia,P,Malang,15,4,80,95,95,80,85,80,85,100,85,100,85,80,95,80,100,85,85,75,15,160109,102
Qori,L,Surabaya,16,5,75,75,95,80,80,95,95,90,80,90,80,80,95,100,75,85,85,95,16,160110,102
Raditya,L,Surabaya,15,2,95,100,85,85,75,80,80,80,95,80,85,95,90,90,100,95,85,90,15,160111,102
Rifqi,L,Jakarta,15,2,75,80,75,90,95,80,100,100,85,100,90,80,80,100,85,100,100,85,16,160112,102
Syafiq,L,Surabaya,16,4,85,85,95,85,80,80,95,85,85,90,95,85,75,100,100,80,75,75,15,160113,102
Ully,P,Surabaya,15,3,100,75,80,75,80,90,90,80,90,80,95,95,100,80,80,85,100,80,13,160114,102
Umi,P,Malang,15,4,90,80,80,100,85,90,95,85,100,90,100,80,80,75,95,80,75,90,16,160115,102
Victor,L,Sidoarjo,15,5,90,95,90,85,90,95,75,95,100,100,80,95,85,80,90,75,80,90,16,160116,102
Viona,P,Sidoarjo,15,5,100,95,80,85,80,80,95,80,95,85,90,90,85,85,75,100,85,100,15,160117,102
Wahyu,L,Surabaya,15,2,90,75,90,90,85,80,95,80,75,80,100,85,95,80,100,95,90,85,14,160118,102
Yanti,P,Malang,15,4,80,90,100,90,85,90,90,90,90,90,80,85,90,100,75,100,100,80,16,160119,102
Zaky,L,Malang,15,3,90,80,80,90,75,85,75,85,75,95,75,100,90,90,85,100,95,90,15,160120,102
