Nama,Gender,Kota,Usia,Jarak,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11,PM12,PM13,PM14,PM15,PM16,UTS,UAS,TotalHadir,Id,Kodemapel
Bima,L,Surabaya,14,4,80,85,80,100,100,80,95,100,90,80,90,100,75,95,95,85,80,95,16,160211,109
Candra,L,Sidoarjo,14,2,100,75,80,100,95,95,90,85,90,100,80,100,85,75,90,90,85,95,13,160212,109
Cempaka,P,Surabaya,14,4,95,95,85,95,75,95,100,80,75,100,85,100,90,85,95,80,75,90,16,160213,109
Cici,P,Malang,13,3,85,80,85,80,75,75,85,95,95,75,75,95,85,90,75,100,90,95,16,160214,109
Cindy,P,Gresik,14,2,95,85,85,75,75,85,100,90,90,85,85,90,85,80,90,85,95,90,16,160215,109
Daffa,L,Malang,14,3,85,100,85,85,85,80,75,75,95,80,75,75,85,85,80,100,100,85,15,160216,109
Faisal,L,Surabaya,13,5,85,90,95,75,85,100,80,80,85,90,85,95,75,85,85,85,95,85,14,160217,109
Fira,P,Sidoarjo,14,2,80,95,95,85,85,75,75,100,90,85,95,95,90,85,90,90,95,85,16,160218,109
Fitria,P,Gresik,13,5,80,80,75,80,85,95,100,80,95,95,85,100,100,95,75,90,75,75,15,160219,109
Galih,L,Surabaya,15,4,75,80,100,80,100,85,100,85,85,75,100,80,85,95,80,80,85,95,16,160220,109
Genta,L,Surabaya,14,5,95,80,100,100,100,85,95,85,100,95,90,95,90,90,85,90,85,80,16,160221,109
Gisel,P,Surabaya,15,3,90,100,90,90,85,80,95,85,90,95,90,90,75,80,85,80,95,85,16,160222,109
Hani,P,Surabaya,14,4,95,100,90,75,95,100,95,100,95,80,90,95,80,90,100,90,90,90,14,160223,109
Indah,P,Sidoarjo,14,4,90,80,75,75,85,90,95,85,80,80,80,95,95,80,90,95,100,85,16,160224,109
Ines,P,Surabaya,14,4,80,85,100,90,100,90,80,95,90,80,90,100,80,95,95,85,95,75,13,160225,109
Juni,P,Jakarta,14,2,75,100,85,100,75,95,75,100,100,75,100,75,80,90,95,90,80,80,15,160226,109
Kamila,P,Surabaya,14,5,80,75,85,100,95,95,95,75,75,85,85,90,85,95,90,85,80,80,16,160227,109
Laila,P,Sidoarjo,14,5,85,80,80,80,90,95,80,85,85,80,90,85,75,95,80,85,95,75,14,160228,109
Lili,P,Surabaya,13,5,80,100,95,80,85,85,95,85,80,90,95,80,80,90,75,80,80,85,16,160229,109
Miko,L,Surabaya,15,3,95,95,90,100,90,85,75,90,80,90,75,95,95,75,80,90,90,100,16,160230,109
Nila,P,Surabaya,13,3,80,85,80,95,80,85,85,80,80,95,95,100,80,80,90,80,90,85,15,160231,109
Nina,P,Sidoarjo,13,2,80,80,90,85,95,100,90,80,90,90,85,80,90,95,95,85,75,95,13,160232,109
Riri,P,Surabaya,13,4,100,85,85,90,90,85,90,90,85,75,80,90,85,80,90,80,85,100,14,160233,109
Selvi,P,Surabaya,14,2,85,95,95,75,95,80,85,80,80,75,85,85,95,85,100,75,90,90,15,160234,109
Surya,L,Sidoarjo,14,4,95,85,80,90,90,95,100,95,85,95,85,95,95,85,90,95,75,100,14,160235,109
Syahrul,L,Gresik,14,5,80,95,75,75,80,90,85,95,85,75,95,100,85,75,80,95,85,85,14,160236,109
Titi,P,Surabaya,15,2,75,90,95,95,90,90,90,75,80,80,85,80,90,75,85,75,80,75,16,160237,109
Uli,P,Surabaya,13,4,95,80,85,95,75,80,100,80,90,95,80,95,80,95,90,100,95,90,14,160238,109
Wawan,L,Surabaya,14,4,90,85,100,95,85,85,95,80,95,80,95,90,90,75,85,90,100,90,14,160239,109
Wenny,P,Surabaya,15,5,90,100,80,75,90,90,85,85,85,85,85,80,80,85,80,80,75,80,16,160240,109
