Nama,Gender,Kota,Usia,Jarak,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11,PM12,PM13,PM14,PM15,PM16,UTS,UAS,TotalHadir,Id,Kodemapel
Anita,P,Sidoarjo,14,4,100,94,94,93,90,99,96,93,92,99,96,91,100,92,99,97,93,99,15,160031,110
Bella,P,Surabaya,13,5,95,96,91,92,97,92,96,93,97,91,94,91,94,96,96,91,91,94,16,160032,110
Cakra,L,Surabaya,13,2,93,100,97,98,90,90,97,91,90,98,90,90,91,95,90,100,93,90,15,160033,110
Citra,P,Gresik,14,3,91,90,100,92,100,95,97,95,96,90,100,100,90,93,97,97,99,97,16,160034,110
Citra,P,Malang,13,2,93,100,93,93,97,100,90,99,91,96,100,92,99,98,98,96,94,90,16,160035,110
Desi,P,Jakarta,13,5,92,96,93,90,91,93,98,91,98,96,100,99,93,92,98,94,100,95,16,160036,110
Diah,P,Surabaya,14,4,92,97,97,94,94,100,94,96,98,100,96,90,92,90,90,90,97,91,16,160037,110
Fani,P,Surabaya,14,4,99,90,93,94,91,98,92,90,98,93,91,92,98,100,94,97,99,98,16,160038,110
Farhan,L,Gresik,14,2,98,95,98,96,99,96,94,93,92,98,93,96,93,99,96,95,98,92,16,160039,110
Fikri,L,Gresik,14,3,98,100,93,95,100,91,96,90,90,94,100,96,90,91,98,93,97,99,16,160040,110
Hanif,L,Malang,14,3,98,90,93,100,91,90,90,100,100,98,91,99,91,91,99,100,93,97,15,160041,110
Indra,L,Surabaya,14,2,93,91,98,91,97,93,92,97,97,92,90,94,94,94,100,97,93,93,15,160042,110
Intan,P,Malang,14,2,100,98,96,94,93,100,94,91,92,94,96,97,91,94,98,97,95,99,15,160043,110
Irfan,L,Gresik,14,4,96,91,90,93,97,98,90,94,100,96,95,100,98,100,95,93,97,90,15,160044,110
Kunto,L,Malang,14,5,98,95,96,95,91,95,92,93,95,96,92,93,98,95,97,98,92,97,16,160045,110
Laksamana,L,Gresik,13,3,99,97,98,93,100,97,95,93,95,95,94,100,98,99,93,92,100,92,16,160046,110
Mita,P,Surabaya,13,5,92,90,96,100,93,98,98,94,97,90,90,90,98,96,95,90,95,100,14,160047,110
Nia,P,Surabaya,15,4,91,97,96,92,100,99,92,96,91,94,90,92,91,98,90,94,98,100,16,160048,110
Opan,L,Surabaya,13,5,93,97,100,100,95,99,99,96,92,97,94,99,95,93,90,100,99,98,15,160049,110
Prasetyo,L,Surabaya,14,2,100,94,92,90,99,90,97,95,97,92,93,90,91,98,90,92,93,94,16,160050,110
Qori,L,Surabaya,13,3,99,95,91,91,90,95,99,94,91,99,97,91,93,100,96,94,97,96,16,160051,110
Satria,L,Surabaya,14,3,99,91,95,93,98,95,98,98,100,100,100,97,95,98,100,91,96,98,14,160052,110
Tama,L,Malang,14,5,92,96,90,98,98,93,98,91,93,98,96,91,99,98,93,92,90,91,15,160053,110
Tania,P,Malang,14,3,99,91,95,100,92,98,95,99,98,91,96,100,99,94,97,93,92,96,15,160054,110
Toni,L,Jakarta,13,3,98,94,91,91,98,97,96,100,91,93,90,91,99,90,92,95,94,95,13,160055,110
Usman,L,Gresik,13,5,98,98,97,95,99,99,100,94,97,95,97,93,90,97,97,91,95,95,16,160056,110
Utari,P,Surabaya,14,2,94,99,93,90,96,92,92,95,95,99,92,90,97,97,95,96,97,93,16,160057,110
Vira,P,Malang,14,3,96,92,91,100,100,99,94,92,90,99,93,91,100,93,92,96,94,91,16,160058,110
Wira,L,Malang,14,3,94,99,98,91,91,95,98,93,90,98,98,92,93,98,90,95,93,97,15,160059,110
Zaki,L,Surabaya,14,5,97,97,90,97,94,96,96,95,98,93,99,100,92,92,96,97,100,97,16,160060,110
