Nama,Gender,Kota,Usia,Jarak,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11,PM12,PM13,PM14,PM15,PM16,UTS,UAS,TotalHadir,Id,Kodemapel
Ajeng,P,Surabaya,13,3,98,100,93,93,91,100,93,90,93,95,90,90,90,90,100,97,92,95,14,160001,205
Amira,P,Surabaya,12,2,100,91,95,100,93,100,97,90,90,100,99,92,95,90,94,99,90,94,14,160002,205
Angga,L,Surabaya,13,3,95,94,98,95,91,90,100,90,100,92,95,90,90,93,95,90,97,99,16,160003,205
Arif,L,Surabaya,12,2,95,95,95,99,90,95,100,95,100,100,100,96,95,90,95,98,95,100,15,160004,205
Bagus,L,Jakarta,12,2,95,100,100,91,95,95,93,95,90,93,100,100,97,90,96,90,98,90,15,160005,205
Bertha,P,Surabaya,12,4,95,90,99,95,100,92,94,95,97,90,100,95,90,92,95,90,90,90,15,160006,205
Chandra,L,Jakarta,13,3,92,97,95,96,90,94,100,90,96,95,90,90,95,100,100,96,99,91,16,160007,205
Dewi,P,Gresik,14,2,90,92,100,95,98,91,96,93,100,92,97,95,96,90,90,95,95,91,16,160008,205
Endah,P,Gresik,13,5,95,96,93,100,92,93,95,93,97,90,95,100,95,95,95,93,100,95,16,160009,205
Eva,P,Sidoarjo,13,2,90,90,95,98,100,95,98,90,90,90,91,95,90,90,90,90,90,90,16,160010,205
Farah,P,Surabaya,12,2,100,95,95,99,99,92,94,91,92,90,97,95,92,96,90,92,90,95,16,160011,205
Gita,P,Surabaya,14,2,100,90,94,93,99,100,93,92,90,96,90,94,100,100,98,95,95,92,16,160012,205
Ida,P,Gresik,13,2,90,93,95,95,91,94,98,90,99,90,95,97,98,90,90,95,100,99,14,160013,205
Ira,P,Malang,13,5,100,90,95,100,93,97,100,95,100,95,100,95,90,90,93,95,91,95,14,160014,205
Jeni,P,Surabaya,13,5,95,95,95,95,95,100,98,100,95,95,91,95,90,90,92,96,100,90,13,160015,205
Juwita,P,Surabaya,13,2,93,92,100,100,100,91,95,92,95,95,100,99,90,90,95,91,95,90,16,160016,205
Karina,P,Gresik,13,2,94,95,91,100,91,90,98,95,90,100,91,100,90,97,97,100,90,90,15,160017,205
Luthfi,L,Sidoarjo,12,2,95,97,90,95,90,98,95,95,91,96,90,98,98,95,95,95,94,97,16,160018,205
Mahendra,L,Surabaya,13,3,90,95,95,100,100,92,90,90,94,95,100,100,100,93,95,95,95,95,13,160019,205
Mega,P,Surabaya,13,3,98,95,96,99,91,100,90,90,98,90,90,95,97,95,100,91,93,100,13,160020,205
Pasha,L,Jakarta,13,2,92,96,90,97,98,95,95,92,92,100,93,91,95,100,100,95,96,90,15,160021,205
Pramana,L,Gresik,13,4,90,90,90,95,95,95,100,100,90,100,95,100,90,95,95,100,95,100,15,160022,205
Rahmat,L,Sidoarjo,13,3,90,92,90,97,92,90,95,92,95,90,95,90,100,90,95,94,99,90,15,160023,205
Rara,P,Sidoarjo,12,5,90,95,95,90,90,95,95,98,95,97,94,96,95,99,100,92,90,99,15,160024,205
Ratih,P,Malang,13,3,90,93,90,95,95,90,100,90,90,92,94,98,100,93,90,92,95,90,16,160025,205
Ratna,P,Surabaya,14,2,94,90,92,90,92,100,100,92,90,99,95,95,95,90,90,95,100,94,16,160026,205
Rina,P,Sidoarjo,13,2,97,96,90,95,90,95,100,98,95,98,97,95,95,91,100,100,100,95,15,160027,205
Sri,P,Jakarta,13,5,90,100,97,95,90,90,94,90,96,90,95,90,100,99,92,95,95,92,15,160028,205
Yoga,L,Gresik,13,4,100,96,100,100,92,96,100,95,100,90,94,100,90,98,93,95,92,95,15,160029,205
Yudha,L,Sidoarjo,12,2,90,98,90,90,90,90,95,98,92,91,97,100,98,99,99,100,95,98,16,160030,205
