Nama,Gender,Kota,Usia,Jarak,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11,PM12,PM13,PM14,PM15,PM16,UTS,UAS,TotalHadir,Id,Kodemapel
Aditya,L,Gresik,15,5,60,45,53,41,45,60,57,54,40,49,51,58,49,50,43,46,47,54,16,160151,103
Bayu,L,Gresik,16,4,44,55,44,57,44,48,54,52,55,44,41,40,40,51,50,44,40,58,15,160152,103
Bella,P,Sidoarjo,16,2,40,46,40,42,57,53,59,56,40,49,57,46,49,42,46,45,42,50,13,160153,103
Cahya,L,Malang,15,3,43,41,59,47,45,42,47,55,46,42,47,51,42,44,56,53,47,52,16,160154,103
Danang,L,Surabaya,14,4,43,42,41,42,60,49,59,49,53,60,58,44,51,60,58,60,56,44,16,160155,103
Dion,L,Malang,15,3,51,58,46,50,45,59,51,51,40,49,43,47,43,42,41,44,41,58,16,160156,103
Eka,P,Sidoarjo,14,5,52,57,42,52,57,41,59,58,49,44,55,46,57,57,59,53,53,53,13,160157,103
Elang,L,Surabaya,15,2,47,47,52,41,55,59,60,50,53,49,48,60,47,48,52,58,42,56,16,160158,103
Ghani,L,Surabaya,15,5,42,54,55,44,58,48,44,47,46,57,51,50,47,55,58,56,45,51,16,160159,103
Hendra,L,Surabaya,15,2,58,49,47,53,47,42,41,44,51,60,44,60,40,47,58,49,41,60,14,160160,103
Heru,L,Surabaya,16,2,56,50,60,57,42,59,59,50,52,47,60,42,47,58,49,52,54,51,16,160161,103
Jeni,P,Gresik,15,5,56,42,49,55,57,50,56,46,52,58,53,50,49,50,45,53,46,51,14,160162,103
Juna,L,Surabaya,14,3,47,49,60,42,60,52,58,60,45,53,55,44,46,47,51,54,56,56,14,160163,103
Kresna,L,Gresik,15,3,44,52,41,56,58,41,43,57,52,54,60,43,40,43,54,40,60,52,13,160164,103
Pandu,L,Sidoarjo,14,2,53,57,44,45,41,42,53,51,59,41,51,52,45,46,59,47,42,41,13,160165,103
Putri,P,Surabaya,15,3,40,52,42,49,53,55,51,47,43,55,55,51,43,55,53,52,43,52,15,160166,103
Sari,P,Surabaya,15,3,40,49,53,43,48,40,58,43,43,51,49,44,52,55,43,54,43,57,15,160167,103
Siska,P,Surabaya,15,4,55,49,45,47,42,46,54,54,47,41,58,55,60,51,46,49,46,40,15,160168,103
Tama,L,Surabaya,15,2,43,42,51,50,58,48,40,55,54,53,50,55,43,58,52,56,56,44,16,160169,103
Tika,P,Surabaya,15,2,44,41,49,41,44,50,40,55,44,41,55,43,48,42,43,53,57,55,16,160170,103
Ulfa,P,Gresik,16,5,50,50,44,60,53,41,53,44,46,40,43,50,53,55,54,58,46,43,16,160171,103
Utama,L,Surabaya,14,3,59,59,52,54,55,56,59,45,42,59,53,43,43,57,55,49,45,57,13,160172,103
Vina,P,Malang,15,5,43,51,49,52,56,60,47,60,57,50,60,43,54,52,53,42,47,59,13,160173,103
Widi,P,Surabaya,15,5,53,55,51,52,43,47,47,45,45,57,43,58,44,53,55,40,40,42,16,160174,103
Wisnu,L,Gresik,15,2,46,42,50,40,42,40,48,49,44,58,59,59,41,60,58,45,47,50,14,160175,103
Wulan,P,Gresik,15,2,55,60,55,48,47,49,56,56,49,48,56,55,55,53,54,58,54,40,14,160176,103
Yoga,L,Surabaya,15,5,57,48,60,45,46,58,52,54,43,43,59,40,43,50,49,44,55,55,14,160177,103
Yogi,L,Malang,14,3,43,44,46,52,57,54,56,55,48,48,45,44,47,47,52,58,59,44,16,160178,103
Zulfikar,L,Surabaya,15,5,42,48,45,41,43,55,58,56,50,56,60,48,48,50,48,49,57,46,16,160179,103
Zulfikar,L,Gresik,15,4,58,60,56,47,50,55,46,58,53,47,47,57,45,53,56,41,55,43,14,160180,103
