Nama,Gender,Kota,Usia,Jarak,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11,PM12,PM13,PM14,PM15,PM16,UTS,UAS,TotalHadir,Id,Kodemapel
Aditya,L,Gresik,13,5,95,85,90,75,95,95,95,90,80,100,80,95,75,85,95,90,90,85,13,160151,110
Bayu,L,Gresik,14,4,80,90,80,80,80,80,95,95,85,95,85,85,80,90,85,80,85,95,14,160152,110
Bella,P,Sidoarjo,14,2,85,100,85,85,95,90,90,85,90,95,85,95,85,95,100,85,75,90,14,160153,110
Cahya,L,Malang,13,3,90,95,85,100,90,95,85,95,95,85,100,100,85,85,80,95,95,80,14,160154,110
Danang,L,Surabaya,12,4,95,75,95,80,80,90,100,95,95,80,100,90,80,95,90,80,85,80,15,160155,110
Dion,L,Malang,13,3,95,90,95,75,80,90,80,85,80,100,90,95,80,95,80,75,80,80,15,160156,110
Eka,P,Sidoarjo,12,5,80,100,90,80,75,90,80,75,80,90,75,90,90,80,80,100,85,95,15,160157,110
Elang,L,Surabaya,13,2,90,95,100,100,95,75,85,90,80,90,90,100,90,85,95,75,100,85,15,160158,110
Ghani,L,Surabaya,13,5,95,90,80,90,95,95,90,80,80,90,90,90,95,95,100,75,90,90,14,160159,110
Hendra,L,Surabaya,13,2,75,100,85,100,100,90,90,100,80,80,95,90,100,95,85,80,75,95,14,160160,110
Heru,L,Surabaya,14,2,75,85,80,75,80,80,80,90,90,95,80,95,85,100,95,90,85,95,13,160161,110
Jeni,P,Gresik,13,5,95,80,80,80,90,80,75,95,85,95,100,75,80,100,80,85,95,90,14,160162,110
Juna,L,Surabaya,12,3,85,85,85,90,100,90,100,90,85,85,95,80,90,75,100,90,85,90,16,160163,110
Kresna,L,Gresik,13,3,95,95,95,85,95,95,85,95,95,95,100,75,80,90,95,85,85,90,16,160164,110
Pandu,L,Sidoarjo,12,2,90,80,75,95,80,100,75,100,80,75,100,80,95,85,95,75,80,80,15,160165,110
Putri,P,Surabaya,13,3,100,90,75,90,100,100,100,90,85,90,95,100,90,80,80,100,80,100,13,160166,110
Sari,P,Surabaya,13,3,100,80,95,85,85,75,85,80,80,80,100,85,95,80,80,85,85,75,16,160167,110
Siska,P,Surabaya,13,4,95,80,90,85,80,85,80,85,75,90,80,95,90,100,100,80,100,80,16,160168,110
Tama,L,Surabaya,13,2,85,85,80,90,95,85,80,95,85,75,95,75,85,80,85,90,80,75,16,160169,110
Tika,P,Surabaya,13,2,100,90,80,90,80,80,85,85,75,75,100,85,85,90,80,95,95,95,14,160170,110
Ulfa,P,Gresik,14,5,90,85,80,80,80,80,100,95,80,90,90,80,85,75,85,90,95,95,16,160171,110
Utama,L,Surabaya,12,3,85,80,85,90,90,80,95,80,100,85,85,90,80,95,75,75,85,85,15,160172,110
Vina,P,Malang,13,5,100,80,95,95,95,85,95,100,95,95,75,100,90,90,80,85,90,100,15,160173,110
Widi,P,Surabaya,13,5,80,100,90,95,80,85,85,80,85,75,100,85,95,95,85,90,100,95,14,160174,110
Wisnu,L,Gresik,13,2,85,95,80,75,95,90,80,95,75,90,90,80,85,95,85,95,90,90,16,160175,110
Wulan,P,Gresik,13,2,85,80,80,75,85,100,80,100,90,85,95,90,80,100,95,90,95,80,14,160176,110
Yoga,L,Surabaya,13,5,90,85,85,75,95,100,95,90,85,75,75,95,90,75,95,95,85,80,15,160177,110
Yogi,L,Malang,12,3,85,100,75,100,80,90,75,80,100,95,100,80,85,80,100,80,80,95,16,160178,110
Zulfikar,L,Surabaya,13,5,80,80,90,85,90,85,85,90,75,95,90,90,80,90,95,85,90,95,15,160179,110
Zulfikar,L,Gresik,13,4,90,95,95,85,80,85,75,85,85,85,100,80,100,90,90,95,95,100,13,160180,110
