Nama,Gender,Kota,Usia,Jarak,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11,PM12,PM13,PM14,PM15,PM16,UTS,UAS,TotalHadir,Id,Kodemapel
Aldi,L,Surabaya,13,3,51,56,40,53,49,55,47,40,54,40,51,60,58,43,45,58,60,41,16,160121,209
Alvin,L,Surabaya,14,2,40,45,44,57,41,48,40,53,58,52,52,58,55,48,42,60,42,43,15,160122,209
Arini,P,Surabaya,12,5,55,57,46,53,58,55,54,50,59,47,40,56,41,53,52,52,51,53,15,160123,209
Desy,P,Surabaya,13,4,51,55,53,49,58,55,52,57,54,56,51,56,41,60,58,44,44,44,14,160124,209
Dewi,P,Sidoarjo,14,4,48,46,44,50,56,46,56,42,59,45,43,41,47,58,48,45,52,52,14,160125,209
Erlangga,L,Surabaya,13,5,45,50,51,52,50,51,57,50,48,53,58,42,43,60,44,58,41,57,16,160126,209
Erwin,L,Malang,13,5,40,40,55,54,48,41,43,53,60,56,51,48,46,47,50,54,41,55,16,160127,209
Hadi,L,Surabaya,13,4,46,44,41,52,43,48,40,56,54,45,47,60,47,41,47,55,49,51,14,160128,209
Hana,P,Jakarta,13,3,40,44,42,60,47,45,58,51,52,45,58,55,49,57,51,52,56,41,16,160129,209
Julia,P,Jakarta,13,3,51,60,48,45,52,46,52,42,51,56,56,48,41,42,52,40,55,50,14,160130,209
Karin,P,Surabaya,13,3,56,57,42,50,60,50,56,51,56,49,40,56,42,58,43,60,44,43,15,160131,209
Kartika,P,Sidoarjo,12,4,47,47,41,43,43,59,56,53,45,53,47,48,49,49,49,47,60,55,14,160132,209
Kusuma,L,Sidoarjo,13,4,43,40,48,48,51,48,47,47,60,51,51,45,42,48,45,53,57,60,13,160133,209
Lestari,P,Jakarta,12,5,55,45,43,43,43,53,41,43,46,60,48,60,45,42,45,49,50,51,14,160134,209
Mahesa,L,Surabaya,12,2,41,44,58,59,42,54,52,51,41,54,48,46,59,50,40,59,53,47,16,160135,209
Nanda,L,Surabaya,12,2,53,47,46,57,57,57,57,44,41,42,49,44,41,47,43,59,50,55,16,160136,209
Nuri,P,Surabaya,13,4,42,49,46,52,55,60,60,56,41,60,44,59,58,53,52,42,40,59,14,160137,209
Qila,P,Jakarta,14,2,43,53,55,47,47,46,54,51,58,43,60,59,60,45,56,45,45,46,15,160138,209
Shinta,P,Surabaya,12,4,56,52,50,43,46,44,47,44,51,47,54,46,56,40,60,57,50,55,14,160139,209
Tari,P,Surabaya,12,2,59,41,52,45,51,49,58,45,53,49,40,45,58,53,42,40,45,52,16,160140,209
Tegar,L,Malang,13,4,48,52,42,52,53,46,45,44,53,46,49,50,51,42,51,42,60,42,16,160141,209
Umar,L,Surabaya,12,4,60,46,51,53,46,40,57,60,56,55,52,54,51,58,51,49,48,47,14,160142,209
Vani,P,Sidoarjo,14,3,60,57,47,52,40,58,54,48,43,54,59,59,60,42,40,45,55,54,14,160143,209
Vian,L,Surabaya,12,3,42,60,45,41,59,42,48,54,42,51,49,52,45,60,47,51,53,51,16,160144,209
Vito,L,Surabaya,13,2,40,47,60,56,52,55,43,44,60,46,51,58,43,43,53,59,56,46,14,160145,209
Wahyu,L,Surabaya,13,5,47,43,59,50,60,58,41,57,45,40,58,47,48,58,55,58,42,52,16,160146,209
Yuni,P,Surabaya,13,2,60,55,41,55,51,41,59,42,57,46,54,41,50,44,50,47,41,45,13,160147,209
Zahra,P,Surabaya,12,4,55,58,42,43,47,52,55,45,46,46,60,50,48,46,52,43,46,52,14,160148,209
Zeni,P,Surabaya,13,3,56,58,56,45,59,47,52,59,49,46,42,59,43,44,45,41,49,47,16,160149,209
Zita,P,Surabaya,13,3,42,43,41,58,57,43,40,50,40,52,46,57,60,58,50,42,41,59,15,160150,209
