Nama,Gender,Kota,Usia,Jarak,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11,PM12,PM13,PM14,PM15,PM16,UTS,UAS,TotalHadir,Id,Kodemapel
Aldi,L,Surabaya,13,3,50,58,50,46,58,49,46,51,55,55,60,51,55,52,52,51,58,41,16,160121,109
Alvin,L,Surabaya,14,2,51,51,57,45,54,54,42,54,40,45,48,59,56,44,44,55,59,46,15,160122,109
Arini,P,Surabaya,12,5,52,56,51,53,47,40,45,60,51,47,52,48,44,51,43,58,40,42,15,160123,109
Desy,P,Surabaya,13,4,41,58,60,50,55,46,45,59,50,48,43,59,51,59,57,55,51,55,14,160124,109
Dewi,P,Sidoarjo,14,4,49,51,41,48,51,55,52,47,53,50,49,44,45,45,54,45,42,54,14,160125,109
Erlangga,L,Surabaya,13,5,56,57,58,59,59,55,59,50,52,52,42,43,53,40,41,58,48,59,16,160126,109
Erwin,L,Malang,13,5,55,49,48,47,48,44,41,52,56,53,55,55,45,57,48,52,57,58,16,160127,109
Hadi,L,Surabaya,13,4,53,49,47,49,58,58,58,49,60,49,53,52,54,52,52,52,55,51,14,160128,109
Hana,P,Jakarta,13,3,46,54,54,51,49,45,51,52,59,47,51,58,53,51,45,54,59,41,16,160129,109
Julia,P,Jakarta,13,3,43,43,57,53,47,60,47,48,43,53,41,42,52,41,45,42,52,60,14,160130,109
Karin,P,Surabaya,13,3,48,44,54,54,60,47,43,54,43,50,51,46,41,58,59,54,52,47,15,160131,109
Kartika,P,Sidoarjo,12,4,52,56,49,54,60,51,52,45,42,40,55,55,59,52,43,44,57,42,14,160132,109
Kusuma,L,Sidoarjo,13,4,44,40,55,43,57,47,47,55,56,54,45,51,55,52,54,57,53,51,13,160133,109
Lestari,P,Jakarta,12,5,53,42,40,57,52,46,60,55,56,42,55,47,53,42,42,57,59,52,14,160134,109
Mahesa,L,Surabaya,12,2,57,54,49,53,59,40,40,55,54,41,55,57,52,53,56,46,46,50,16,160135,109
Nanda,L,Surabaya,12,2,41,41,50,55,44,53,46,40,52,49,55,60,47,48,59,60,46,46,16,160136,109
Nuri,P,Surabaya,13,4,58,57,43,48,48,45,42,57,44,42,51,55,48,49,43,47,45,58,14,160137,109
Qila,P,Jakarta,14,2,54,59,58,44,55,49,43,52,51,57,50,58,50,41,45,47,46,45,15,160138,109
Shinta,P,Surabaya,12,4,59,41,55,41,41,40,42,49,51,46,45,50,41,44,46,45,42,44,14,160139,109
Tari,P,Surabaya,12,2,58,48,52,57,52,40,42,55,46,45,44,55,54,52,55,53,52,50,16,160140,109
Tegar,L,Malang,13,4,51,60,54,53,55,43,51,41,60,54,44,44,54,55,47,40,42,51,16,160141,109
Umar,L,Surabaya,12,4,44,50,55,42,47,41,51,47,53,51,50,48,51,42,41,59,44,50,14,160142,109
Vani,P,Sidoarjo,14,3,59,40,52,45,53,47,54,41,48,40,52,57,41,49,49,44,48,58,14,160143,109
Vian,L,Surabaya,12,3,60,57,44,43,43,59,50,59,51,49,40,41,51,46,51,51,58,45,16,160144,109
Vito,L,Surabaya,13,2,47,45,51,47,47,56,60,58,41,42,40,50,42,46,51,46,53,54,14,160145,109
Wahyu,L,Surabaya,13,5,55,58,40,51,52,49,57,50,44,59,49,47,52,51,45,56,53,51,16,160146,109
Yuni,P,Surabaya,13,2,55,40,48,53,43,55,48,44,45,59,45,40,50,46,54,57,49,48,13,160147,109
Zahra,P,Surabaya,12,4,46,51,44,42,58,44,40,44,54,47,55,42,54,56,56,56,60,55,14,160148,109
Zeni,P,Surabaya,13,3,55,59,40,50,41,47,44,58,57,47,45,42,43,60,55,57,50,49,16,160149,109
Zita,P,Surabaya,13,3,56,55,40,48,57,47,42,43,41,45,57,48,46,43,42,52,56,51,15,160150,109
